,symbol,ltp,percent_change,open,high,low,quantity
35,CIT,1758.0,-0.4,1785.0,1756.0,1775.0,5468
36,CITY,500.0,4.17,519.0,479.0,480.0,46879
37,CKHL,725.5,-2.49,757.0,702.1,729.9,14490
38,CLI,465.2,-0.7,473.0,465.0,469.2,27227
39,CMF2,10.16,1.91,10.16,9.79,9.79,7036
40,CORBL,1799.0,-2.02,1860.0,1765.0,1800.1,5624
41,CREST,1474.0,-0.54,1499.0,1427.0,1475.0,34876
42,CYCL,1580.0,1.15,1624.0,1530.8,1530.8,6654
43,CZBIL,195.2,-2.16,203.4,195.0,199.0,87511
44,DDBL,826.2,-1.99,841.5,826.2,840.0,13010
45,DHEL,789.0,-3.31,877.0,784.0,820.0,210982
46,DHPL,301.0,-0.66,308.9,300.5,305.0,9018
47,DLBS,1364.9,-0.23,1364.9,1330.0,1342.0,554
48,DOLTI,519.5,-1.42,529.3,519.0,519.0,7646
49,DORDI,280.0,-0.67,287.3,275.1,285.0,145007
50,EBL,665.2,-0.45,670.0,665.0,666.0,52815
51,EBLD91,1075.0,-0.56,1085.0,1075.0,1081.0,190
52,EDBL,601.0,0.13,611.8,600.0,601.0,23563
53,EHPL,429.0,-0.23,443.0,426.8,426.8,92241
54,ENL,924.0,0.98,933.0,910.0,910.1,549
55,FMDBL,800.0,-0.25,814.9,786.0,786.0,16305
56,FOWAD,1071.0,-1.56,1095.0,1012.4,1095.0,25879
57,GBBD85,1085.0,0.46,1085.0,1085.0,1085.0,50
58,GBBL,397.8,-0.05,402.9,397.8,398.0,23161
59,GBILD84/85,1165.0,0.43,1183.0,1165.0,1183.0,70
60,GBIME,226.1,-0.75,228.0,224.0,226.1,59078
61,GBIMESY2,9.04,-1.2,9.17,9.03,9.1,2800
62,GBLBS,774.8,0.49,780.0,767.1,767.1,4631
63,GCIL,418.5,-0.64,422.0,415.1,418.0,21722
64,GFCL,661.8,-1.52,672.5,656.0,662.5,27408
65,GHL,227.1,-2.32,236.0,225.5,232.2,163756
